source,target,distance
13,27,0.8774055309543123
27,68,0.8849227274998918
45,68,0.8851746607669414
68,128,0.8871295619446197
13,131,0.875816408783685
68,131,0.887318499793782
68,157,0.8716227726753218
27,163,0.9067436271200917
45,163,0.9004716334592061
128,163,0.9036943733869641
131,163,0.9075540061265841
157,163,0.8834732703578848
27,165,0.886937275283964
45,165,0.8818613973107766
128,165,0.8849230947282918
131,165,0.8883819898190293
163,168,0.8845530100009478
68,175,0.8868023270570627
163,175,0.9030740789751424
165,175,0.8843048405824572
68,196,0.8851746607669414
163,196,0.9004716334592061
165,196,0.8818613973107766
27,197,0.8928541917314564
45,197,0.883054948142072
128,197,0.8860577834727177
131,197,0.8925599695099627
175,197,0.8853082918011115
196,197,0.883054948142072
68,247,0.8869679575063991
163,247,0.9033891820809655
165,247,0.8846081407701792
197,247,0.8856554690419653
27,254,0.8766000741468074
131,254,0.8754375340949734
68,336,0.8857013519505819
163,336,0.8855242266942087
27,374,0.8849227274998918
45,374,0.8851746607669414
128,374,0.8871295619446197
131,374,0.887318499793782
157,374,0.8716227726753218
175,374,0.8868023270570627
196,374,0.8851746607669414
247,374,0.8869679575063991
336,374,0.8857013519505819
27,400,0.8758150893487398
131,400,0.8752799616052337
27,423,0.8788155821754042
45,423,0.8717802066381461
128,423,0.8754652237141687
131,423,0.8795368751652832
175,423,0.8747993685969624
196,423,0.8717802066381461
247,423,0.8751497464706282
27,427,0.8897520944709639
128,427,0.8735804351780075
131,427,0.8854349197684164
168,427,0.8700421459026066
175,427,0.8725001341118126
232,427,0.8928124772722299
247,427,0.8730646688443223
27,437,0.8737661250203607
131,437,0.872358935945705
13,476,0.8768923021289073
68,476,0.8829974763457243
163,476,0.9050783647540057
165,476,0.8851174438007057
197,476,0.8921074985199999
254,476,0.8754992037115792
374,476,0.8829974763457243
400,476,0.8750812353044364
423,476,0.8768878971448208
427,476,0.8896426102369484
437,476,0.8724606831959264
27,477,0.8864537453891519
45,477,0.8778191195179812
128,477,0.88115585371591
131,477,0.8868089560914332
175,477,0.8804079232164104
196,477,0.8778191195179812
247,477,0.8807664955531387
476,477,0.8851443645533398
27,489,0.8719865930935922
131,489,0.872897755030233
476,489,0.8702036645459871
27,518,0.9024598975997261
45,518,0.8963555990346405
128,518,0.8994930192198347
131,518,0.9034080618901099
157,518,0.8792267421064448
168,518,0.8805612466993096
175,518,0.8988648590000501
196,518,0.8963555990346405
247,518,0.8991772923893526
336,518,0.8813826158856335
476,518,0.9008197735765648
27,550,0.8842163540750486
